Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
368,3664.85,26,41,0,67
369,3668.05,27,31,0,58
370,3350.55,19,38,0,57
371,3233.277777777778,22,37,0,59
372,3622.1052631578946,22,44,0,66
373,3019.9444444444443,27,40,0,67
374,2036.3,7,37,0,44
375,2750.684210526316,13,35,0,48
376,3126.6666666666665,31,37,0,68
377,2281.9444444444443,17,33,0,50
378,2606.9,12,41,0,53
379,1429.0,3,38,0,41
380,2168.5882352941176,15,46,0,61
381,3482.5789473684213,34,31,0,65
382,3183.8,10,45,0,55
383,2214.75,26,27,0,53
384,2468.777777777778,19,43,0,62
385,4424.105263157895,22,50,0,72
386,4231.45,31,35,0,66
387,3663.0,23,38,0,61
388,3973.45,26,40,0,66
389,2763.2105263157896,21,36,0,57
390,4200.210526315789,32,46,0,78
391,2429.1176470588234,22,27,0,49
392,3698.95,26,34,0,60
393,3181.277777777778,16,45,0,61
394,1977.157894736842,8,42,0,50
395,2687.5,23,35,1,58
396,3269.7,23,41,0,64
397,3311.8333333333335,28,45,2,73
398,2077.5,14,28,0,42
399,2068.75,8,37,0,45
400,2243.684210526316,13,36,0,49
401,2646.222222222222,26,23,0,49
402,3287.9473684210525,27,29,0,56
403,2637.1666666666665,20,36,0,56
404,2024.4,10,29,0,39
405,4165.6,26,42,0,68
406,2465.9473684210525,17,34,0,51
407,2625.777777777778,26,34,0,60
408,2551.470588235294,24,29,0,53
409,3705.3,32,27,0,59
410,2246.0526315789475,15,37,0,52
411,4650.4,36,45,0,81
412,2148.0,19,33,0,52
413,2552.6111111111113,22,37,0,59
414,1990.235294117647,18,44,1,62
415,3351.4444444444443,32,37,0,69
416,2093.8823529411766,15,36,0,51
417,1882.8235294117646,18,37,0,55
418,3241.0,19,36,0,55
419,3347.4,19,40,0,59
420,2730.6666666666665,19,39,0,58
421,2865.6666666666665,25,42,0,67
422,2166.7368421052633,12,38,0,50
423,2134.5555555555557,14,31,0,45
424,2122.7,13,35,0,48
425,2402.9285714285716,24,36,0,60
426,3497.6315789473683,27,40,0,67
427,1988.1666666666667,11,36,0,47
428,2546.764705882353,19,33,0,52
429,2206.875,18,41,0,59
430,1655.8823529411766,12,37,0,49
431,1790.6666666666667,5,38,0,43
432,4026.4210526315787,35,44,0,79
433,2417.6666666666665,22,27,0,49
434,4132.631578947368,43,33,0,76
435,3364.0,25,39,0,64
436,1429.0,7,34,2,41
437,1429.0,4,36,1,40
438,2445.823529411765,28,37,0,65
439,5090.2,41,47,0,88
440,3484.7,29,32,0,61
441,2417.0588235294117,25,28,0,53
442,2984.764705882353,35,38,0,73
443,2579.3846153846152,20,33,0,53
444,2750.9444444444443,20,32,1,52
445,3388.5555555555557,29,43,1,72
446,3540.2,34,29,0,63
447,3695.8,28,40,0,68
448,2231.5555555555557,21,28,0,49
449,3942.8947368421054,26,44,0,70
450,2838.7,18,38,0,56
451,5360.85,36,47,0,83
452,2373.8947368421054,17,32,0,49
453,2842.764705882353,27,38,0,65
454,3134.7,19,34,0,53
455,2079.9473684210525,13,34,0,47
456,2535.157894736842,21,37,0,58
457,2536.8947368421054,22,30,0,52
458,2813.0625,29,39,0,68
459,3107.7,25,34,0,59
460,3175.1111111111113,28,31,0,59
461,2169.5882352941176,18,35,13,53
462,3409.6666666666665,33,35,0,68
463,1966.8823529411766,14,38,0,52
464,2007.5,24,37,0,61
465,2528.35,16,33,0,49
466,2282.9473684210525,16,36,0,52
467,1598.625,7,39,0,46
468,2622.7,18,37,0,55
469,1984.5882352941176,17,38,11,55
470,2694.6111111111113,21,35,0,56
471,2926.2105263157896,22,39,0,61
472,2230.2631578947367,11,35,0,46
473,2177.5789473684213,13,35,0,48
474,3387.777777777778,35,28,0,63
475,1957.3333333333333,15,32,0,47
476,3540.9,24,31,0,55
477,2254.3888888888887,9,46,0,55
478,3482.5789473684213,26,46,10,72
479,2087.3684210526317,16,32,0,48
480,3061.3888888888887,21,35,0,56
481,2433.1875,24,32,0,56
482,3525.1,24,43,0,67
483,3287.842105263158,18,43,0,61
484,2779.157894736842,17,41,0,58
485,2024.35,16,30,0,46
486,2548.1,22,28,0,50
487,1766.8333333333333,9,36,3,45
488,3026.3684210526317,19,36,0,55
489,1955.4444444444443,13,37,0,50
490,3742.6,26,36,0,62
491,2568.5789473684213,13,43,0,56
492,3554.55,29,36,0,65
493,3076.3888888888887,30,39,1,69
494,3083.15,21,30,0,51
495,2684.0588235294117,21,35,0,56
496,1733.9473684210527,5,35,0,40
497,2398.222222222222,20,34,0,54
498,3002.9473684210525,23,31,0,54
499,2387.1176470588234,22,45,0,67
500,2320.5555555555557,18,38,0,56
