Episode,Average Lifespan,True Location Selections,False Location Selections,Explore Actions,Target Actions
461,2708.2105263157896,17,35,0,52
462,2201.3,17,26,0,43
463,2888.5,36,32,0,68
464,2664.75,18,28,0,46
465,2250.8333333333335,13,35,0,48
466,2417.0588235294117,22,31,0,53
467,2117.4210526315787,11,34,5,45
468,1429.0,3,38,0,41
469,2520.2105263157896,14,31,0,45
470,3092.6,17,46,0,63
471,2877.0555555555557,25,33,0,58
472,2771.6315789473683,12,35,6,47
473,2060.4444444444443,17,36,3,53
474,1429.0,5,39,0,44
475,2138.3684210526317,15,31,0,46
476,1748.3529411764705,7,35,0,42
477,1933.388888888889,16,24,0,40
478,2222.777777777778,11,39,0,50
479,2482.3529411764707,24,35,0,59
480,1429.0,1,37,0,38
481,2133.6666666666665,8,45,8,53
482,2399.9444444444443,13,37,0,50
483,2389.842105263158,15,38,13,53
484,2949.3888888888887,24,36,3,60
485,2409.842105263158,12,37,0,49
486,2107.6,14,27,0,41
487,2084.5882352941176,15,40,0,55
488,2875.9473684210525,21,45,0,66
489,3267.7894736842104,24,43,1,67
490,2296.55,9,35,0,44
491,4470.35,20,42,0,62
492,2019.7894736842106,17,22,0,39
493,2599.5789473684213,21,35,0,56
494,2464.157894736842,18,36,24,54
495,2301.222222222222,10,44,0,54
496,1429.0,0,38,0,38
497,1429.0,2,35,0,37
498,2048.15,12,34,0,46
499,2748.3888888888887,21,39,0,60
500,3092.45,19,39,0,58
